line_cd,company_cd,line_name,line_name_k,line_name_h,line_color_c,line_color_t,line_type,lon,lat,zoom,e_status,e_sort
99317,131,金沢シーサイドライン,カナザワシーサイドライン,横浜新都市交通金沢シーサイドライン,,,,139.63114433063,35.362156748956,13,0,99317
99318,132,関東鉄道常総線,カントウテツドウジョウソウセン,関東鉄道常総線,,,,139.99013930492,36.119885050385,10,0,99318
99319,132,関東鉄道竜ヶ崎線,カントウテツドウリュウガサキセン,関東鉄道竜ヶ崎線,,,,140.15730669312,35.918931647193,13,0,99319
99320,133,江ノ島電鉄線,エノシマデンテツセン,江ノ島電鉄線,,,,139.51240710479,35.326088202628,13,0,99320
99321,134,ニューシャトル,ニューシャトル,埼玉新都市交通伊奈線,,,,139.61628077085,35.962695134731,12,0,99321
99322,135,鹿島鉄道線,カシマテツドウセン,鹿島鉄道線,,,,140.39112930414,36.158972272736,12,2,99322
99323,136,鹿島臨海鉄道大洗鹿島線,カシマリンカイテツドウオオアライカシマセン,鹿島臨海鉄道大洗鹿島線,,,,140.54283357227,36.187305681791,10,0,99323
99324,137,芝山鉄道線,シバヤマテツドウセン,芝山鉄道線,,,,140.39236169312,35.763562433826,14,0,99324
99325,138,小湊鉄道線,コミナトテツドウセン,小湊鉄道線,,,,140.12739861631,35.395848485772,11,0,99325
99326,139,湘南モノレール,ショウナンモノレール,湘南モノレール,,,,139.510244625,35.332232488316,13,0,99326
99327,140,上信電鉄,ジョウシンデンテツ,上信電鉄,,,,138.91563430781,36.266190081525,11,0,99327
99328,141,上毛電気鉄道上毛線,ジョウモウデンキテツドウジョウモウセン,上毛電気鉄道上毛線,,,,139.19116825391,36.417048379027,11,0,99328
99329,142,新京成線,シンケイセイセン,新京成電鉄新京成線,,,,139.97042634375,35.759050705694,12,0,99329
99330,143,真岡鐵道真岡線,モオカテツドウモオカセン,真岡鐵道真岡線,,,,140.0426814861,36.445020326649,11,0,99330
99331,144,千葉都市モノレール１号線,チバトシモノレールイチゴウセン,千葉都市モノレール１号線,,,,140.11310786772,35.608265091811,14,0,99331
99332,144,千葉都市モノレール２号線,チバトシモノレールニゴウセン,千葉都市モノレール２号線,,,,140.1410857668,35.626391766399,13,0,99332
99333,145,流鉄流山線,リュウテツナガレヤマセン,流鉄流山線,,,,139.91199264551,35.837926642056,13,0,99333
99334,146,多摩モノレール,タマモノレール,多摩都市モノレール線,,,,139.42169850771,35.697431414861,12,0,99334
99335,147,銚子電鉄線,チョウシデンテツセン,銚子電気鉄道線,,,,140.84740317246,35.719128212382,13,0,99335
99336,148,東京モノレール,トウキョウモノレール,東京モノレール羽田空港線,,,,139.76328619096,35.591022808774,12,0,99336
99337,149,りんかい線,リンカイセン,東京臨海高速鉄道りんかい線,,,,139.76612964282,35.623733011573,13,0,99337
99338,150,東葉高速線,トウヨウコウソクセン,東葉高速鉄道東葉高速線,,,,140.03804726443,35.719061,12,0,99338
99339,151,箱根登山鉄道鉄道線,ハコネトザンテツドウテツドウセン,箱根登山鉄道鉄道線,,,,139.09949102313,35.245979085622,12,0,99339
99340,152,北総鉄道北総線,ホクソウテツドウホクソウセン,北総鉄道北総線,,,,140.03784499075,35.783462858466,11,0,99340
99341,153,ほっとスパ・ライン,ホットスパライン,野岩鉄道会津鬼怒川線,,,,139.70133274067,36.987335574449,11,0,99341
99344,151,箱根登山ケーブルカー,ハコネトザンケーブルカー,箱根登山鉄道鋼索線,,,,139.04142379761,35.248167,15,0,99344
99345,250,芳賀・宇都宮LRT,ウツノミヤハガライトレールセン,宇都宮芳賀ライトレール線,,,,139.945,36.554828,12,0,99345
99401,154,富士急行線,フジキュウコウセン,富士急行線,,,,138.86075605024,35.553671122984,12,0,99401
99402,155,北越急行ほくほく線,ホクエツキュウコウホクホクセン,北越急行ほくほく線,,,,138.59099433333,37.139661754914,10,0,99402
99403,156,しなの鉄道線,シナノテツドウセン,しなの鉄道線,,,,138.31742924147,36.419423909335,10,0,99403
99427,156,北しなの線,キタシナノセン,北しなの線,,,,138.2105016592,36.755306038955,11,0,99403
99404,157,上田電鉄別所線,ウエダデンテツベッショセン,上田電鉄別所線,,,,138.21092225608,36.37625258348,13,0,99404
99405,158,長野電鉄長野線,ナガノデンテツナガノセン,長野電鉄長野線,,,,138.30425232813,36.701859302587,11,0,99405
99406,158,長野電鉄屋代線,ナガノデンテツヤシロセン,長野電鉄屋代線,,,,138.21193550511,36.599249252395,12,2,99406
99407,159,上高地線,カミコウチセン,アルピコ交通上高地線,,,,137.8973824682,36.213717379095,12,0,99407
99408,160,富山地鉄本線,トヤマチテツホンセン,富山地鉄本線,,,,137.38976132823,36.789882435974,11,0,99408
99409,160,富山地鉄立山線,トヤマチテツタテヤマセン,富山地鉄立山線,,,,137.37055082296,36.632597035937,12,0,99409
99410,160,富山地鉄不二越・上滝線,トヤマチテツフジコシ・カミダキセン,富山地鉄不二越・上滝線,,,,137.25252600319,36.654978014273,12,0,99410
99411,161,神岡鉄道神岡線,カミオカテツドウカミオカセン,神岡鉄道神岡線,,,,137.27280775391,36.404333174002,12,2,99411
99412,162,黒部峡谷鉄道本線,クロベキョウコクテツドウホンセン,黒部峡谷鉄道本線,,,,137.62933635449,36.771398208953,12,0,99412
99413,160,富山地鉄市内線【１・２系統】,トヤマチテツシナイセン,富山地鉄市内線,,,,137.21048993623,36.687492188879,14,0,99413
99422,160,富山地鉄富山都心線【３系統(環状線)】,トヤマチテツトヤマトシンセン,富山地鉄富山都心線,,,,137.2128868103,36.695539154132,15,0,99413
99414,163,万葉線,マンヨウセン,万葉線,,,,137.05198785928,36.768653934981,13,0,99414
99415,160,富山港線,トヤマコウセン,富山港線,,,,137.23409,36.761212,13,0,99415
99416,165,北陸鉄道石川線,ホクリクテツドウイシカワセン,北陸鉄道石川線,,,,136.62763019846,36.507489305599,12,0,99416
99417,165,北陸鉄道浅野川線,ホクリクテツドウアサノガワセン,北陸鉄道浅野川線,,,,136.64124453304,36.611011077535,13,0,99417
99423,244,日本海ひすいライン,ニホンカイヒスイライン,日本海ひすいライン,,,,138.0056284368,37.092750222369,10,0,99417
99424,244,妙高はねうまライン,ミョウコウハネウマライン,妙高はねうまライン,,,,138.0056284368,37.092750222369,10,0,99417
99425,245,あいの風とやま鉄道線,アイノカゼトヤマテツドウセン,あいの風とやま鉄道線,,,,137.21461293753,36.684159937672,10,0,99417
99426,246,IRいしかわ鉄道線,アイアールイシカワテツドウセン,IRいしかわ鉄道株式会社,,,,136.6,36.5,10,0,99417
99418,166,のと鉄道七尾線,ノトテツドウナナオセン,のと鉄道七尾線,,,,136.90441537109,37.124485067777,11,0,99418
99419,167,えちぜん鉄道勝山永平寺線,エチゼンテツドウカツヤマエイヘイジセン,えちぜん鉄道勝山永平寺線,,,,136.35136147538,36.086418977113,11,0,99419
99420,167,えちぜん鉄道三国芦原線,エチゼンテツドウミクニアワラセン,えちぜん鉄道三国芦原線,,,,136.19195268869,36.162791926785,11,0,99420
99421,168,福井鉄道福武線,フクイテツドウフクブセン,福井鉄道福武線,,,,136.2068053916,36.010775574279,12,0,99421
99428,251,ハピラインふくい線,ハピラインフクイセン,ハピラインふくい線,,,,136.3,36,9,0,99426
99501,169,伊豆急行線,イズキュウコウセン,伊豆急行線,,,,139.04158977539,34.824429658256,11,0,99501
99502,128,伊豆箱根鉄道駿豆線,イズハコネテツドウスンズセン,伊豆箱根鉄道駿豆線,,,,138.9315606353,35.056607988173,12,0,99502
