station_g_cd,station_name,lon,lat
2800915,六本木一丁目,139.739,35.665595
2800916,麻布十番,139.737051,35.654682
2800917,白金高輪,139.734104,35.642903
2800918,白金台,139.726133,35.637917
1130203,目黒,139.7155,35.633272
2100111,和光市,139.612434,35.788507
2100110,地下鉄成増,139.631497,35.776557
2100109,地下鉄赤塚,139.644021,35.769939
2800604,平和台,139.653762,35.757863
2800605,氷川台,139.665567,35.74955
2200301,小竹向原,139.678572,35.743803
2800607,千川,139.689271,35.738229
2800608,要町,139.698715,35.73323
1130212,池袋,139.708291,35.731464
2801010,雑司が谷,139.714795,35.720233
2801011,西早稲田,139.709101,35.708242
2801012,東新宿,139.707593,35.698915
2800217,新宿三丁目,139.704828,35.690853
2801014,北参道,139.705453,35.678459
1130206,明治神宮前〈原宿〉,139.705367,35.668497
1130205,渋谷,139.702417,35.659545
